,taxdoug_2016,view_transgender_2016,RIGGED_SYSTEM_4_2016,gender_equality_2016,affirmact_gen_2016,immi_contribution_2016,police_threat_2016,pid3_2016,gvmt_involment_2016,wealth_2016,policies_favor_2016,obamaapp_2016,healthreformbill_2016,presvote16post_2016
107,Yes,Should be allow to us the restrooms of the gender with which they currently identify,,Don't know,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,
108,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
109,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly a drain,Isolated incidents,Republican,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
110,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
111,Yes,Don't know,Disagree,Men have more opportunities than women,Don't know,Neither,Part of a broader pattern,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Somewhat Approve,Expanded,Hillary Clinton
112,Yes,Should be required to use the restrooms of the gender they were born into,Disagree,Men have more opportunities than women,Oppose,Mostly a drain,Isolated incidents,Democrat,People would be better able to handle today's problems within a free market with less government involvement,Should be more evenly distributed,Favor blacks over whites,Somewhat Approve,Kept the same,Hillary Clinton
113,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Democrat,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
114,No,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men have more opportunities than women,Oppose,Mostly a drain,Part of a broader pattern,Republican,We need a strong government to handle today's complex economic problems,Distribution is fair,Favor blacks over whites,Strongly Disapprove,Repealed,Donald Trump
115,Don't know,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men and women have equal opportunities,Oppose,Mostly make a contribution,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Favor blacks over whites,Somewhat Disapprove,Repealed,Donald Trump
116,Don't know,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,Men have more opportunities than women,Oppose,Mostly a drain,Isolated incidents,Independent,We need a strong government to handle today's complex economic problems,Distribution is fair,Don't know,Strongly Disapprove,Repealed,Donald Trump
117,No,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Oppose,Neither,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Distribution is fair,Treat both groups the same,Somewhat Disapprove,Repealed,Gary Johnson
118,Don't know,Don't know,Agree,Men and women have equal opportunities,Oppose,Mostly make a contribution,Isolated incidents,Independent,People would be better able to handle today's problems within a free market with less government involvement,Don't know,Don't know,Somewhat Disapprove,Expanded,Other
119,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men have more opportunities than women,Favor,Mostly make a contribution,Part of a broader pattern,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Somewhat Approve,Expanded,Hillary Clinton
120,Don't know,Should be required to use the restrooms of the gender they were born into,Strongly agree,Men have more opportunities than women,Oppose,Mostly make a contribution,Part of a broader pattern,Other,People would be better able to handle today's problems within a free market with less government involvement,,Favor blacks over whites,Somewhat Disapprove,Expanded,Gary Johnson
121,Yes,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,Men and women have equal opportunities,Oppose,Mostly make a contribution,Part of a broader pattern,Independent,We need a strong government to handle today's complex economic problems,Should be more evenly distributed,Treat both groups the same,Strongly Approve,Expanded,Hillary Clinton
