Unnamed: 0,healthreformbill_2016,wealth_2016,gvmt_involment_2016,police_threat_2016,obamaapp_2016,view_transgender_2016,affirmact_gen_2016,policies_favor_2016,taxdoug_2016,immi_contribution_2016,pid3_2016,RIGGED_SYSTEM_4_2016,gender_equality_2016,presvote16post_2016
7693,Expanded,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,Part of a broader pattern,Strongly Approve,Should be allow to us the restrooms of the gender with which they currently identify,Favor,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Disagree,Men have more opportunities than women,Hillary Clinton
7694,Repealed,Don't know,Don't know,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Don't know,Favor blacks over whites,Yes,Mostly a drain,Independent,Strongly agree,Men have more opportunities than women,Donald Trump
7695,Expanded,Should be more evenly distributed,Don't know,Isolated incidents,Somewhat Approve,Should be allow to us the restrooms of the gender with which they currently identify,Don't know,Treat both groups the same,Yes,Mostly make a contribution,Independent,Agree,Don't know,Gary Johnson
7696,Expanded,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,Isolated incidents,Somewhat Approve,Should be required to use the restrooms of the gender they were born into,Oppose,Treat both groups the same,Yes,Mostly make a contribution,Democrat,Disagree,Don't know,Hillary Clinton
7697,Repealed,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Don't know,Don't know,Yes,Mostly a drain,Republican,Agree,Men and women have equal opportunities,Donald Trump
7698,Repealed,Don't know,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Don't know,Oppose,Favor blacks over whites,No,Mostly a drain,Independent,Strongly agree,Men and women have equal opportunities,Donald Trump
7699,Repealed,Don't know,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Don't know,Oppose,Treat both groups the same,Yes,Mostly a drain,Independent,Disagree,Men and women have equal opportunities,Donald Trump
7700,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Don't know,Somewhat Disapprove,Should be required to use the restrooms of the gender they were born into,Don't know,Favor blacks over whites,Don't know,Mostly a drain,Independent,Strongly agree,Men and women have equal opportunities,Donald Trump
7701,Repealed,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Don't know,Oppose,Favor blacks over whites,No,Mostly a drain,Republican,Agree,Men and women have equal opportunities,Donald Trump
7702,Repealed,Don't know,People would be better able to handle today's problems within a free market with less government involvement,Don't know,Somewhat Disapprove,Should be required to use the restrooms of the gender they were born into,Favor,Don't know,No,Mostly a drain,Republican,Disagree,Men have more opportunities than women,Donald Trump
7703,Repealed,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,Isolated incidents,Strongly Disapprove,Should be required to use the restrooms of the gender they were born into,Oppose,Favor blacks over whites,Yes,Mostly a drain,Independent,Strongly agree,Men have more opportunities than women,Donald Trump
