,teapartsup_baseline,track_baseline,healthtaxch3_baseline,obamaapp_baseline,post_pid3_2012,envwarm_baseline,taxwealth_baseline,healthreformbill_baseline,presvote16post_2016
175,Somewhat oppose,Off on the wrong track,Pay more,Somewhat Disapprove,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
176,Somewhat oppose,Not sure,About the same,Strongly Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
177,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
178,Somewhat oppose,Not sure,Not sure,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
179,Somewhat oppose,Off on the wrong track,About the same,Somewhat Approve,Independent,Probably is happening,Not sure,Expanded,Hillary Clinton
180,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
181,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Other
182,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Not sure,Oppose,Repealed,Donald Trump
183,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
184,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Not sure,Hillary Clinton
185,Somewhat oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
186,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is happening,Favor,Repealed,Donald Trump
187,Strongly oppose,Generally headed in the right direction,Not sure,Strongly Approve,Democrat,Definitely is happening,Favor,Kept the same,Gary Johnson
188,Strongly support,Off on the wrong track,Pay more,,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
189,Strongly oppose,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is happening,Favor,Expanded,
190,Strongly oppose,Generally headed in the right direction,Pay more,Somewhat Disapprove,Democrat,Not sure,Favor,Not sure,Hillary Clinton
191,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
192,Somewhat oppose,Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Probably is happening,Favor,Not sure,Jill Stein
193,Somewhat oppose,Generally headed in the right direction,Pay less,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Gary Johnson
194,Strongly oppose,Off on the wrong track,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
195,Strongly oppose,Off on the wrong track,Pay more,Somewhat Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
196,Somewhat oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Oppose,Not sure,Hillary Clinton
197,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Favor,Repealed,Donald Trump
198,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
199,Strongly oppose,Not sure,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
200,Strongly oppose,Not sure,Pay more,Somewhat Disapprove,Democrat,,Favor,,Hillary Clinton
201,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
