,teapartsup_baseline,track_baseline,healthtaxch3_baseline,obamaapp_baseline,post_pid3_2012,envwarm_baseline,taxwealth_baseline,healthreformbill_baseline,presvote16post_2016
1541,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
1542,Somewhat oppose,Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Probably is not happening,Oppose,Repealed,Hillary Clinton
1543,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1544,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
1545,Somewhat support,Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Definitely is not happening,Oppose,Not sure,Donald Trump
1546,Strongly oppose,Generally headed in the right direction,Pay less,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1547,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1548,Strongly oppose,Off on the wrong track,Not sure,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
1549,Strongly oppose,Off on the wrong track,About the same,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Not sure,Hillary Clinton
1550,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
1551,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
1552,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Not sure,Repealed,Donald Trump
1553,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
1554,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,
1555,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Donald Trump
1556,Not sure,Off on the wrong track,Not sure,Somewhat Disapprove,Independent,Probably is happening,Favor,Not sure,Hillary Clinton
1557,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1558,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Donald Trump
1559,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1560,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Donald Trump
1561,Strongly oppose,Off on the wrong track,Pay more,Somewhat Disapprove,Republican,Probably is not happening,Oppose,Repealed,Hillary Clinton
1562,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1563,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
1564,Somewhat oppose,Off on the wrong track,Pay more,Somewhat Disapprove,Republican,Probably is happening,Favor,Repealed,Gary Johnson
1565,Strongly oppose,Generally headed in the right direction,Pay more,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1566,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Donald Trump
1567,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
1568,Not sure,Off on the wrong track,Not sure,Somewhat Approve,Democrat,Probably is happening,Favor,Kept the same,Hillary Clinton
1569,Somewhat oppose,Generally headed in the right direction,Not sure,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Gary Johnson
1570,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1571,Somewhat oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Not sure,Hillary Clinton
1572,Somewhat oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1573,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
1574,Strongly oppose,Off on the wrong track,Pay more,Strongly Disapprove,Democrat,Definitely is happening,Favor,Repealed,Donald Trump
1575,Somewhat oppose,Not sure,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1576,Strongly oppose,Off on the wrong track,Not sure,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
1577,Somewhat oppose,Generally headed in the right direction,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1578,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1579,Strongly oppose,Off on the wrong track,Pay more,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Not sure,Hillary Clinton
1580,Strongly oppose,Generally headed in the right direction,Pay more,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1581,"Neither support, nor oppose",Generally headed in the right direction,Pay more,Somewhat Approve,Independent,Definitely is happening,Favor,Not sure,Hillary Clinton
1582,Somewhat oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1583,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Independent,Definitely is happening,Favor,Kept the same,Hillary Clinton
1584,Strongly oppose,Off on the wrong track,Pay less,Somewhat Approve,Republican,Definitely is happening,Favor,Expanded,Hillary Clinton
1585,Somewhat oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Not sure,Oppose,Kept the same,Hillary Clinton
1586,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Probably is not happening,Oppose,Repealed,Donald Trump
1587,Somewhat support,Off on the wrong track,Pay more,Somewhat Disapprove,Republican,Probably is happening,Oppose,Repealed,Donald Trump
1588,Strongly oppose,Off on the wrong track,Not sure,Somewhat Approve,Democrat,Probably is not happening,Oppose,Not sure,Donald Trump
1589,Strongly oppose,Generally headed in the right direction,Pay less,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
1590,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Oppose,Repealed,Donald Trump
1591,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Gary Johnson
1592,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
1593,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1594,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1595,"Neither support, nor oppose",Not sure,Pay more,Somewhat Approve,Independent,Probably is happening,Favor,Not sure,Hillary Clinton
1596,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Probably is happening,Favor,Expanded,Donald Trump
1597,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
1598,"Neither support, nor oppose",Off on the wrong track,Not sure,Strongly Disapprove,Republican,Definitely is not happening,Not sure,Not sure,Donald Trump
1599,Somewhat oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Jill Stein
1600,Somewhat oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1601,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1602,"Neither support, nor oppose",Not sure,Pay more,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1603,Strongly oppose,Off on the wrong track,Pay less,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1604,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
1605,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
1606,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
1607,Strongly oppose,Off on the wrong track,Pay more,Somewhat Disapprove,Independent,Definitely is happening,Not sure,,Hillary Clinton
1608,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Not sure,Oppose,Repealed,Donald Trump
1609,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Kept the same,Hillary Clinton
1610,Strongly oppose,Off on the wrong track,Pay more,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Repealed,Hillary Clinton
1611,Somewhat support,Off on the wrong track,Not sure,Strongly Disapprove,Republican,Probably is happening,Oppose,Repealed,Other
1612,Strongly support,Generally headed in the right direction,Pay more,Strongly Disapprove,Independent,Definitely is happening,Oppose,Repealed,Donald Trump
1613,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Favor,Repealed,Donald Trump
1614,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is not happening,Favor,Repealed,Donald Trump
1615,Strongly oppose,Generally headed in the right direction,Not sure,Strongly Approve,Democrat,Definitely is happening,Oppose,Expanded,Hillary Clinton
1616,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Oppose,Repealed,Donald Trump
1617,Strongly oppose,Generally headed in the right direction,Not sure,Strongly Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
1618,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
1619,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Gary Johnson
1620,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Kept the same,Did not vote for President
1621,Strongly oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Probably is happening,Favor,Expanded,Hillary Clinton
1622,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Definitely is not happening,Oppose,Repealed,Donald Trump
1623,Strongly oppose,Not sure,,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1624,Strongly oppose,Off on the wrong track,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1625,Somewhat oppose,Not sure,Pay more,Somewhat Disapprove,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1626,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1627,Strongly oppose,Off on the wrong track,Pay less,Strongly Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
1628,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Oppose,Repealed,Gary Johnson
1629,"Neither support, nor oppose",Off on the wrong track,Pay more,Strongly Disapprove,Republican,Not sure,Oppose,Repealed,Donald Trump
1630,Strongly oppose,Generally headed in the right direction,Pay less,Strongly Approve,Independent,Definitely is happening,Favor,Expanded,Hillary Clinton
1631,Strongly oppose,Generally headed in the right direction,About the same,Somewhat Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1632,Strongly oppose,Off on the wrong track,Pay more,Somewhat Approve,Independent,Probably is happening,Favor,Expanded,Hillary Clinton
1633,Somewhat oppose,Not sure,Pay more,Somewhat Disapprove,Democrat,Definitely is happening,Not sure,Repealed,Hillary Clinton
1634,Strongly support,Off on the wrong track,Pay more,Strongly Disapprove,Republican,Definitely is not happening,Oppose,Repealed,Donald Trump
1635,Somewhat support,Off on the wrong track,Pay more,Strongly Disapprove,Independent,Probably is happening,Not sure,Repealed,
1636,Somewhat oppose,Generally headed in the right direction,Not sure,Strongly Approve,Independent,Probably is happening,Favor,Expanded,Hillary Clinton
1637,Somewhat oppose,Generally headed in the right direction,About the same,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
1638,Strongly oppose,Generally headed in the right direction,Not sure,Strongly Approve,Democrat,Definitely is happening,Favor,Expanded,Hillary Clinton
