obamaapp_2016,healthreformbill_2016,univhealthcov_2016,ft_blm_2016,policies_favor_2016,imiss_l_2016,envwarm_2016,immi_muslim_2016,pid3_2016,pp_primary16_2016,ideo5_2016,govt_reg_2016,immi_contribution_2016,wealth_2016,gvmt_involment_2016,ft_fem_2016,police_threat_2016,reverse_discrimination_2016,RIGGED_SYSTEM_4_2016,affirmact_gen_2016,race_slave_2016,race_overcome_2016,view_transgender_2016,RIGGED_SYSTEM_3_2016,ft_unions_2016,presvote16post_2016
Strongly Disapprove,Repealed,No,5.0,Treat both groups the same,Unimportant,Probably is not happening,Somewhat favor,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,9.0,Isolated incidents,Disagree,Strongly agree,Oppose,Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Disagree,5.0,Donald Trump
Strongly Disapprove,Repealed,No,1.0,Favor blacks over whites,Somewhat important,Probably is happening,Strongly favor,Republican,In the Republican primary,Conservative,Too much,Mostly a drain,Don't know,People would be better able to handle today's problems within a free market with less government involvement,3.0,Isolated incidents,Strongly Agree,Strongly agree,Don't know,Disagree,Disagree,Should be required to use the restrooms of the gender they were born into,Disagree,17.0,Donald Trump
Strongly Approve,Expanded,Yes,100.0,Favor whites over blacks,Very important,Definitely is happening,Strongly oppose,Other,In the Democratic primary,Very liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,89.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Strongly Agree,Strongly Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,85.0,Hillary Clinton
Strongly Approve,Expanded,Yes,50.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Liberal,Too little,Mostly make a contribution,Should be more evenly distributed,Don't know,50.0,Isolated incidents,Strongly Disagree,Disagree,Don't know,Strongly Agree,Strongly Agree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,100.0,Hillary Clinton
Strongly Approve,Expanded,Yes,90.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Liberal,About the right amount,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,98.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,97.0,Hillary Clinton
Strongly Disapprove,Repealed,No,3.0,Favor blacks over whites,Unimportant,Definitely is not happening,Somewhat favor,Independent,In the Republican primary,Conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,1.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,50.0,Donald Trump
Strongly Disapprove,Repealed,Don't know,41.045111462173075,Favor blacks over whites,Unimportant,Probably is happening,Strongly favor,Independent,In the Republican primary,Moderate,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,2.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,1.0,Donald Trump
Somewhat Approve,Repealed,No,28.0,Favor blacks over whites,Not very important,Probably is happening,Somewhat favor,Republican,"No, not in either",Moderate,Too much,Mostly a drain,Don't know,People would be better able to handle today's problems within a free market with less government involvement,59.0,Isolated incidents,Agree,Agree,Oppose,Disagree,Strongly Agree,Don't know,Agree,30.0,Donald Trump
Strongly Disapprove,Repealed,No,0.0,Favor blacks over whites,Somewhat important,Probably is happening,Strongly favor,Republican,In the Republican primary,Moderate,Too much,Mostly a drain,Don't know,People would be better able to handle today's problems within a free market with less government involvement,29.0,Isolated incidents,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,79.0,Donald Trump
Strongly Approve,Expanded,Yes,75.0,Treat both groups the same,Very important,Definitely is happening,Somewhat favor,Independent,"No, not in either",Liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,75.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Agree,Disagree,Don't know,Strongly agree,75.0,Hillary Clinton
Strongly Approve,Expanded,Yes,65.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Independent,In the Democratic primary,Moderate,About the right amount,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,90.0,Part of a broader pattern,Strongly Disagree,Strongly disagree,Favor,Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,70.0,Hillary Clinton
Strongly Approve,Expanded,Yes,100.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Very liberal,About the right amount,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,100.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Strongly Agree,Strongly Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Agree,80.0,Hillary Clinton
Strongly Approve,Expanded,Yes,89.0,Treat both groups the same,Somewhat important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Very liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,52.993479752916954,Part of a broader pattern,Strongly Agree,Disagree,Favor,Strongly Disagree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,65.0,Hillary Clinton
Strongly Approve,Expanded,Yes,100.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Moderate,About the right amount,Mostly make a contribution,Distribution is fair,We need a strong government to handle today's complex economic problems,100.0,Part of a broader pattern,Strongly Agree,Strongly disagree,Favor,Strongly Agree,Strongly Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Disagree,99.0,Hillary Clinton
Strongly Disapprove,Repealed,No,50.0,Favor blacks over whites,Somewhat important,Probably is happening,Strongly favor,Independent,In the Republican primary,Moderate,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,78.0,Isolated incidents,Agree,Strongly agree,Oppose,Disagree,Agree,Should be required to use the restrooms of the gender they were born into,Agree,39.0,Donald Trump
Strongly Disapprove,Repealed,No,0.0,Favor blacks over whites,Unimportant,Definitely is not happening,Strongly favor,Independent,"No, not in either",Very conservative,Too much,Mostly a drain,Distribution is fair,People would be better able to handle today's problems within a free market with less government involvement,43.0,Isolated incidents,Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,32.0,Donald Trump
Strongly Approve,Expanded,Yes,51.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Moderate,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,50.0,Part of a broader pattern,Strongly Disagree,Strongly disagree,Favor,Strongly Agree,Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,98.0,Hillary Clinton
Strongly Approve,Expanded,Yes,93.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Independent,In the Democratic primary,Liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,99.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Agree,Strongly Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,94.0,Hillary Clinton
Strongly Approve,Expanded,Yes,81.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Independent,In the Democratic primary,Liberal,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,80.0,Part of a broader pattern,Strongly Disagree,Strongly agree,Favor,Strongly Agree,Strongly Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,60.0,Hillary Clinton
Somewhat Approve,Expanded,Yes,69.0,Treat both groups the same,Very important,Definitely is happening,Somewhat oppose,Independent,In the Democratic primary,Moderate,Too little,Neither,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,57.0,Part of a broader pattern,Strongly Disagree,Disagree,Don't know,Strongly Agree,Disagree,Don't know,Strongly agree,57.0,Hillary Clinton
Somewhat Approve,Kept the same,Yes,14.0,Favor blacks over whites,Somewhat important,Probably is happening,Strongly favor,Democrat,In the Democratic primary,Liberal,Too little,Mostly a drain,Should be more evenly distributed,People would be better able to handle today's problems within a free market with less government involvement,94.0,Isolated incidents,Strongly Agree,Disagree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,82.0,Hillary Clinton
Strongly Approve,Expanded,Yes,72.0,Treat both groups the same,Very important,Definitely is happening,Strongly oppose,Democrat,In the Democratic primary,Moderate,Too little,Mostly make a contribution,Should be more evenly distributed,We need a strong government to handle today's complex economic problems,85.0,Part of a broader pattern,Strongly Disagree,Disagree,Favor,Agree,Strongly Disagree,Should be allow to us the restrooms of the gender with which they currently identify,Strongly agree,76.0,Hillary Clinton
Strongly Disapprove,Repealed,No,41.045111462173075,Favor blacks over whites,Not very important,Definitely is not happening,Strongly favor,Republican,In the Republican primary,Very conservative,Too much,Mostly a drain,Distribution is fair,We need a strong government to handle today's complex economic problems,52.993479752916954,Part of a broader pattern,Strongly Agree,Strongly agree,Oppose,Strongly Disagree,Strongly Agree,Should be required to use the restrooms of the gender they were born into,Agree,51.91723549488054,Donald Trump
